country,2022/S1,2022/S2,2023/S1,2023/S2,2024
Belgium,1658.23,1842.28,1955.04,1955.04,1994.18	
Bulgaria,332.34,363.02,398.81,398.81,477.04	
Czechia,651.70,654.84,717.37,728.67,764.44	
Denmark,:,:,:,:,:	
Germany,1634.00,1739.00,1997.00,1997.00,2054.00	
Estonia,654.00,654.00,725.00,725.00,820.00	
Ireland,1774.50,1774.50,1909.70,1909.70,2146.30	
Greece,773.50,831.83,831.83,910,910.00	
Spain,1125.83,1166.67,1166.67,1260.00,1323.00	
France,1603.12,1645.58,1709.28,1747.20,1766.92	
Croatia,623.70,622.45,700.00,700.00,840.00	
Italy,:,:,:,:,:	
Cyprus,:,:,940.00,940.00,1000.00	
Latvia,500.00,500.00,620.00,620.00,700.00	
Lithuania,730.00,730.00,840.00,840.00,924.00	
Luxembourg,2256.95,2313.38,2387.40,2508.24,2570.93	
Hungary,541.73,503.73,578.74,623.77,696.97	
Malta,792.26,792.26,835.16,835.16,925.34	
Netherlands,1725.00,1756.20,1934.40,1995.00,2070.12	
Austria,:,:,:,:,:	
Poland,654.79,641.74,745.60,811.03,977.53	
Portugal,822.50,822.50,886.67,886.67,956.67	
Romania,515.26,515.53,606.12,604.41,663.24	
Slovenia,1074.43,1074.43,1203.36,1203.36,1253.90	
Slovakia,646.00,646.00,700.00,700.00,750.00	
Finland,:,:,:,:,:	
Sweden,:,:,:,:,:	
Iceland,:,:,:,:,:	
Liechtenstein,:,:,:,:,:	
Norway,:,:,:,:,:	
Switzerland,:,:,:,:,:	
United Kingdom,:,:,:,:,:	
Montenegro,532.54,532.54,532.54,532.54,532.54	
North Macedonia,:,:,:,:,:	
Albania,248.43,268.61,297.65,375.80,385.06	
Serbia,401.36,401.97,460.21,460.57,543.64	
TÃ¼rkiye,328.49,373.57,501.28,473.69,612.58	
