Country,2020,2021,2022
Belgium,76562,87272,84627
Bulgaria,6649,26755,13175
Czechia,35854,18630,31764
Denmark,53822,44008,62927
Germany,488138,543162,533485
Estonia,12427,12481,9657
Ireland,55942,52429,61133
Greece,77837,79596,80307
Spain,248561,696866,531889
France,144797,177028,249355
Croatia,34046,40424,46287
Italy,159884,158312,150189
Cyprus,21368,18410,17958
Latvia,11990,12975,16680
Lithuania,23103,25205,15270
Luxembourg,14870,15959,17227
Hungary,67364,67999,58408
Malta,12679,13509,13166
Netherlands,102502,110342,109616
Austria,62581,67299,74271
Poland,161666,ep,201595,228006
Portugal,25886,25079,30954
Romania,186818,216861,202311
Slovenia,17745,21144,20956
Slovakia,2428,3395,4468
Finland,15084,13459,15635
Sweden,48937,48284,50592
Iceland,6009,4661,5091
Liechtenstein,432,516,480
Norway,21447,34297,32536
Switzerland,109376,116769,122123
United Kingdom,:,:,:
Montenegro,28,:,:
Moldova,:,:,:
North Macedonia,1082,1412,:
Albania,:,:,:
Serbia,:,:,:
TÃ¼rkiye,:,:,:
Ukraine,19121,22587,:
Belarus,:,:,:
Russia,:,:,:
San Marino,:,:,:
